,type,filename,instrument,sample_mass,temperature,comments,method
0,isotherm,AAB-3-107_27C_isotherm_TGApan-2022-09-15 11-10-28.xls,DVS-Advantage-Plus,12.9177,Temp. [celsius]: 26.43 +- 4.11,User: AAB,20220915_27C_400cc_act100C_02dmdt
0,kinetics,AAB-3-107_kinetics_27C-2022-08-18 21-17-17.xls,DVS-Advantage-Plus,9.7573,Temp. [celsius]: 27.72 +- 7.01,User: AAB,20220420_kinetics1_27C_activation100C_60and90_X2
0,isotherm,20190323_Mg_CUK-1_3Isoth_27C - Sun 24 Mar 2019 00-20-00.xlsx,DVS-INTRINSIC,15.6016,Actual Sample Temp: 27.00 +- 0.00,20190323_Mg_CUK-1_3Isoth_27C,C:\DVS-Intrinsic\method\20190302_SilicaWheel_3Isoth27C_006dmdt.sao
0,kinetics,20190323_Mg_CUK-1_Kinetics - Sat 23 Mar 2019 16-34-28.xls,DVS-INTRINSIC,15.6439,Actual Sample Temp: 27.00 +- 0.00,20190323_Mg_CUK-1_Kinetics,C:\DVS-Intrinsic\method\20190220_Loading_kinetic_test_01dmdt.sao
0,isotherm,20190408_hcp-UIO-66 - Mon 08 Apr 2019 11-55-31.xls,DVS-INTRINSIC,14.5171,Actual Sample Temp: 27.10 +- 0.81,20190408_hcp-UIO-66,C:\DVS-Intrinsic\method\Quick_Isotherm_ROS-37_VGP.sao
0,kinetics,20190409_hcp-UIO-66_Kinetics - Tue 09 Apr 2019 11-36-25.xls,DVS-INTRINSIC,14.5465,Actual Sample Temp: 27.00 +- 0.00,20190409_hcp-UIO-66_Kinertics,C:\DVS-Intrinsic\method\20190220_Loading_kinetic_test_01dmdt.sao
0,isotherm,20190923_AAB380-AAB382_UiO-NH2-66 - Mon 23 Sep 2019 15-45-59.xls,DVS-INTRINSIC,19.4266,Actual Sample Temp: 27.08 +- 0.70,20190923_AAB380-AAB382_UiO-NH2-66,C:\DVS-Intrinsic\method\Quick_Isotherm_Candidates_VGP1.sao
0,kinetics,20190923_AAB380-AAB382_UiO-NH2-66_Kinetics - Tue 24 Sep 2019 10-05-58.xls,DVS-INTRINSIC,19.4716,Actual Sample Temp: 27.00 +- 0.00,20190923_AAB380-AAB382_UiO-NH2-66_Kinetics,C:\DVS-Intrinsic\method\20190220_Loading_kinetic_test_01dmdt.sao
0,isotherm,AAB-3-103_27C_isotherm_TGApan-2022-09-16 12-50-53.xlsx,DVS-Advantage-Plus,11.727,Temp. [celsius]: 26.01 +- 2.48,User: AAB,20220915_27C_400cc_act100C_02dmdt
0,kinetics,AAB-3-103_kinetics_27C-2022-08-18 21-17-17.xls,DVS-Advantage-Plus,10.3459,Temp. [celsius]: 27.72 +- 7.01,User: AAB,20220420_kinetics1_27C_activation100C_60and90_X2
0,isotherm,2_MS-200512_Isotherm-2020-07-30 12-52-23.xlsx,DVS-Advantage-Plus,9.0551,Temp. [celsius]: 27.37 +- 3.09,Sample Mohana. 12h at 90C for activation,20200730_MS-200511_MS-200512
0,kinetics,MS-2005-11_kinetics_10mg-2022-04-19 16-39-52.xls,DVS-Advantage-Plus,9.2764,Temp. [celsius]: 26.42 +- 3.41,"User: AAB, 20200730_MS-2005-11-AfterDVS",20210603_kinetics1_27C_activation100C_3cycles_400flow
0,isotherm,LX2134_2_isotherm_25C-2022-01-13 19-26-53.xls,DVS-Advantage-Plus,10.5841,Temp. [celsius]: 24.07 +- 0.27,"User: SD, Act: 150C, 0Rh",20211220_SD_method_0.01_25C
0,kinetics,LX2134_kinetics_27C-2023-02-22 13-30-52.xls,DVS-Advantage-Plus,14.7824,Temp. [celsius]: 26.79 +- 5.21,"User: AAB, act 100C",20220420_kinetics1_27C_activation100C_60and90_X2_dmdt001
0,isotherm,AAB-6-42_isotherm_27C-2023-02-18 20-04-00.xls,DVS-Advantage-Plus,16.2086,Temp. [celsius]: 26.34 +- 3.67,"User: AAB, act 100C, dm/dt 0.02",20220915_27C_400cc_act100C_02dmdt
0,kinetics,AAB-6-42_kinetics_27C-2023-02-22 13-30-52.xls,DVS-Advantage-Plus,9.4687,Temp. [celsius]: 26.79 +- 5.21,"User: AAB, act 100C",20220420_kinetics1_27C_activation100C_60and90_X2_dmdt001
0,isotherm,AAB-6-41_isotherm_27C-2023-02-23 16-37-53.xlsx,DVS-Advantage-Plus,14.5095,Temp. [celsius]: 26.09 +- 2.58,"User: AAB, act 100C, dm/dt=0.02",20230223_27C_400cc_act100C_02dmdt
0,kinetics,AAB-6-41_kinetics_27C-2023-02-25 16-19-20.xls,DVS-Advantage-Plus,14.4954,Temp. [celsius]: 26.61 +- 4.65,"User: AAB, act 100C, ",20230225_kinetics1_27C_activation100C_30and90_X2_dmdt001
0,isotherm,AAB-6-35_isotherm_27C-2023-02-19 21-31-48.xls,DVS-Advantage-Plus,17.1591,Temp. [celsius]: 26.19 +- 3.04,"User: AAB, act 100C, dm/dt 0.02",20230219_27C_400cc_act100C_02dmdt
0,kinetics,AAB-6-35_ground_kinetics_27C_20mg-2023-02-27 18-31-39.xls,DVS-Advantage-Plus,21.956,Temp. [celsius]: 26.98 +- 5.66,"User: AAB, act 100C, ",20220420_kinetics1_27C_activation100C_60and90_X2_dmdt001
0,isotherm,AAB-6-40_refluxEtOH_isotherm_27C-2023-02-23 16-37-53.xlsx,DVS-Advantage-Plus,15.0649,Temp. [celsius]: 26.09 +- 2.58,"User: AAB, act 100C, dm/dt=0.02",20230223_27C_400cc_act100C_02dmdt
0,kinetics,AAB-6-40_refluxEtOH_kinetics_27C-2023-02-25 16-19-20.xls,DVS-Advantage-Plus,14.9336,Temp. [celsius]: 26.61 +- 4.65,"User: AAB, act 100C, ",20230225_kinetics1_27C_activation100C_30and90_X2_dmdt001
