Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
144.84,6.9843,26.3,0,0.51
144.87,6.9843,26.3,0,0.51
144.91,6.9844,26.3,0,0.51
144.94,6.9844,26.2,0,0.5
144.98,6.9844,26.2,0,0.5
145.01,6.9844,26.2,0,0.5
145.04,6.9844,26.2,0,0.49
145.08,6.9844,26.2,0,0.5
145.11,6.9845,26.3,0,0.5
145.14,6.9845,26.2,0,0.49
145.18,6.9845,26.3,0,0.51
145.21,6.9845,26.3,0,0.51
145.25,6.9845,26.3,0,0.5
145.28,6.9846,26.3,0,0.51
145.31,6.9846,26.2,0,0.5
145.35,6.9846,26.2,0,0.49
145.38,6.9847,26.2,0,0.49
145.42,6.9847,26.2,0,0.51
145.45,6.9847,26.3,0,0.51
145.48,6.9847,26.3,0,0.5
145.52,6.9848,26.3,0,0.51
145.55,6.9848,26.3,0,0.5
145.58,6.9849,26.3,0,0.49
145.62,6.9849,26.3,0,0.51
145.65,6.9849,26.3,0,0.5
145.69,6.9849,26.3,0,0.49
145.72,6.985,26.3,0,0.5
145.75,6.985,26.3,0,0.5
145.79,6.985,26.3,0,0.49
145.82,6.9851,26.2,0,0.49
145.86,6.9851,26.3,0,0.49
145.89,6.9851,26.3,0,0.49
145.92,6.9851,26.3,0,0.49
145.96,6.9851,26.3,0,0.49
145.99,6.9852,26.3,0,0.49
146.03,6.9852,26.3,0,0.5
146.06,6.9852,26.3,0,0.5
146.09,6.9852,26.3,0,0.49
146.13,6.9852,26.3,0,0.49
146.16,6.9852,26.2,0,0.49
146.19,6.9852,26.2,0,0.5
146.23,6.9853,26.2,0,0.5
146.26,6.9853,26.3,0,0.49
146.3,6.9853,26.3,0,0.49
146.33,6.9853,26.3,0,0.49
146.36,6.9853,26.2,0,0.49
146.4,6.9853,26.2,0,0.49
146.43,6.9854,26.2,0,0.49
146.46,6.9854,26.2,0,0.49
146.5,6.9854,26.2,0,0.49
146.53,6.9854,26.2,0,0.5
146.57,6.9855,26.2,0,0.49
146.6,6.9855,26.2,0,0.49
146.63,6.9856,26.2,0,0.5
146.67,6.9856,26.2,0,0.5
146.7,6.9857,26.2,0,0.5
146.74,6.9857,26.2,0,0.49
146.77,6.9858,26.2,0,0.5
146.8,6.9858,26.2,0,0.49
146.84,6.9858,26.3,0,0.49
146.87,6.9858,26.4,0,0.49
146.9,6.9859,26.4,0,0.5
146.94,6.9859,26.3,0,0.5
146.97,6.9859,26.3,0,0.5
147.01,6.986,26.2,0,0.49
147.04,6.986,26.3,0,0.49
147.07,6.986,26.3,0,0.5
147.11,6.9861,26.2,0,0.5
147.14,6.9861,26.2,0,0.51
147.18,6.9861,26.2,0,0.49
147.21,6.9861,26.2,0,0.49
147.24,6.9862,26.3,0,0.51
147.28,6.9862,26.3,0,0.51
147.31,6.9862,26.2,0,0.5
147.34,6.9862,26.2,0,0.49
147.38,6.9863,26.2,0,0.51
147.41,6.9863,26.2,0,0.51
147.45,6.9864,26.2,0,0.5
147.48,6.9864,26.2,0,0.51
147.51,6.9864,26.2,0,0.5
147.55,6.9864,26.2,0,0.5
147.58,6.9865,26.2,0,0.5
147.62,6.9865,26.2,0,0.5
147.65,6.9866,26.3,0,0.5
147.68,6.9866,26.3,0,0.51
147.72,6.9866,26.3,0,0.5
147.75,6.9867,26.3,0,0.51
147.79,6.9867,26.3,0,0.51
147.82,6.9867,26.2,0,0.51
147.85,6.9868,26.2,0,0.51
147.89,6.9868,26.2,0,0.51
147.92,6.9868,26.2,0,0.5
147.95,6.9869,26.2,0,0.49
147.99,6.9869,26.2,0,0.51
148.02,6.9869,26.2,0,0.49
148.06,6.987,26.2,0,0.51
148.09,6.987,26.2,0,0.51
148.12,6.987,26.3,0,0.51
148.16,6.987,26.2,0,0.51
148.19,6.987,26.3,0,0.51
148.22,6.987,26.2,0,0.51
148.26,6.9871,26.2,0,0.51
148.29,6.9871,26.2,0,0.51
148.33,6.9871,26.2,0,0.51
148.36,6.9871,26.3,0,0.51
148.39,6.9871,26.3,0,0.51
148.43,6.9872,26.3,0,0.51
148.46,6.9872,26.3,0,0.51
148.5,6.9872,26.3,0,0.51
148.53,6.9872,26.3,0,0.51
148.56,6.9872,26.2,0,0.51
148.6,6.9872,26.2,0,0.51
148.63,6.9872,26.2,0,0.51
148.66,6.9872,26.2,0,0.51
148.7,6.9873,26.3,0,0.51
148.73,6.9873,26.3,0,0.51
148.77,6.9873,26.3,0,0.51
148.8,6.9873,26.2,0,0.51
148.83,6.9873,26.2,0,0.51
148.87,6.9873,26.2,0,0.51
148.9,6.9873,26.2,0,0.51
148.94,6.9874,26.2,0,0.51
148.97,6.9874,26.3,0,0.51
149,6.9874,26.3,0,0.51
149.04,6.9874,26.2,0,0.51
149.07,6.9874,26.3,0,0.51
149.1,6.9874,26.3,0,0.51
149.14,6.9875,26.3,0,0.51
149.17,6.9875,26.2,0,0.51
149.21,6.9875,26.2,0,0.51
149.24,6.9875,26.2,0,0.51
149.27,6.9876,26.1,0,0.51
149.31,6.9876,26.2,0,0.51
149.34,6.9876,26.2,0,0.51
149.38,6.9876,26.2,0,0.51
149.41,6.9876,26.2,0,0.51
149.44,6.9876,26.2,0,0.51
149.48,6.9876,26.2,0,0.51
149.51,6.9877,26.2,0,0.51
149.55,6.9877,26.2,0,0.51
149.58,6.9877,26.2,0,0.51
149.61,6.9877,26.2,0,0.51
149.65,6.9878,26.2,0,0.51
149.68,6.9878,26.2,0,0.51
149.71,6.9878,26.3,0,0.51
149.75,6.9878,26.3,0,0.51
149.78,6.9878,26.2,0,0.51
149.82,6.9879,26.2,0,0.51
149.85,6.9879,26.2,0,0.51
149.88,6.9879,26.2,0,0.51
149.92,6.9879,26.2,0,0.51
149.95,6.988,26.2,0,0.51
149.98,6.988,26.2,0,0.51
150.02,6.988,26.3,60,0.51
150.05,6.988,26.2,60,0.51
150.09,6.9881,26.2,60,0.51
150.12,6.9881,26.2,60,0.51
150.15,6.9881,26.2,60,0.51
150.19,6.9882,26.2,60,1.39
150.22,6.9882,26.2,60,5.87
150.26,6.9882,26.3,60,23.97
150.29,6.9882,26.3,60,34.49
150.32,6.9882,26.3,60,42.88
150.36,6.9882,26.2,60,47.59
150.39,6.9883,26.2,60,51.62
150.42,6.9883,26.3,60,52.59
150.46,6.9883,26.3,60,54.48
150.49,6.9885,26.3,60,55.45
150.53,6.9887,26.2,60,56.08
150.56,6.989,26.2,60,56.68
150.59,6.9893,26.2,60,56.91
150.63,6.9902,26.3,60,57.24
150.66,6.9905,26.3,60,57.43
150.7,6.9914,26.2,60,57.55
150.73,6.9924,26.2,60,57.71
150.76,6.9937,26.2,60,57.81
150.8,6.9952,26.2,60,57.85
150.83,6.997,26.2,60,57.97
150.86,6.9989,26.3,60,58.03
150.9,7.0012,26.3,60,58.11
150.93,7.0036,26.3,60,58.14
150.97,7.0065,26.3,60,58.18
151,7.0095,26.3,60,58.23
151.03,7.013,26.3,60,58.24
151.07,7.0165,26.3,60,58.29
151.1,7.0205,26.3,60,58.31
151.14,7.0244,26.3,60,58.32
151.17,7.0289,26.3,60,58.35
151.2,7.0332,26.4,60,58.37
151.24,7.0378,26.4,60,58.38
151.27,7.0428,26.4,60,58.42
151.31,7.0477,26.4,60,58.42
151.34,7.0531,26.3,60,58.44
151.37,7.0583,26.3,60,58.46
151.41,7.0641,26.3,60,58.48
151.44,7.0696,26.3,60,58.48
151.47,7.0756,26.3,60,58.48
151.51,7.0813,26.4,60,58.51
151.54,7.0876,26.4,60,58.53
151.58,7.0935,26.4,60,58.54
151.61,7.1,26.4,60,58.54
151.64,7.1029,26.4,60,58.54
151.68,7.1128,26.4,60,58.55
151.71,7.1191,26.4,60,58.55
151.74,7.1254,26.4,60,58.59
151.78,7.1289,26.4,60,58.59
151.81,7.1358,26.4,60,58.6
151.85,7.1423,26.4,60,58.6
151.88,7.1494,26.4,60,58.6
151.91,7.156,26.4,60,58.6
151.95,7.1632,26.4,60,58.6
151.98,7.1699,26.5,60,58.6
152.02,7.1767,26.5,60,58.6
152.05,7.1839,26.5,60,58.62
152.08,7.1908,26.5,60,58.63
152.12,7.1981,26.5,60,58.63
152.15,7.205,26.5,60,58.64
152.18,7.2124,26.4,60,58.65
152.22,7.2194,26.4,60,58.65
152.25,7.2268,26.4,60,58.65
152.29,7.2338,26.4,60,58.65
152.32,7.2413,26.4,60,58.65
152.35,7.2483,26.5,60,58.65
152.39,7.2557,26.5,60,58.65
152.42,7.2627,26.5,60,58.65
152.46,7.2697,26.5,60,58.65
152.49,7.2772,26.4,60,58.66
152.52,7.2842,26.4,60,58.67
152.56,7.2916,26.4,60,58.67
152.59,7.2986,26.4,60,58.68
152.62,7.306,26.4,60,58.7
152.66,7.3129,26.4,60,58.7
152.69,7.3203,26.4,60,58.71
152.73,7.3272,26.4,60,58.71
152.76,7.3346,26.4,60,58.71
152.79,7.3415,26.4,60,58.71
152.83,7.3488,26.4,60,58.71
152.86,7.352,26.5,60,58.71
152.9,7.3593,26.4,60,58.71
152.93,7.3661,26.4,60,58.71
152.96,7.3733,26.4,60,58.71
153,7.3801,26.4,60,58.71
153.03,7.3873,26.5,60,58.71
153.07,7.394,26.4,60,58.71
153.1,7.4011,26.4,60,58.71
153.13,7.4077,26.4,60,58.71
153.17,7.4148,26.4,60,58.71
153.2,7.4214,26.4,60,58.72
153.23,7.428,26.5,60,58.72
153.27,7.4349,26.5,60,58.72
153.3,7.4415,26.5,60,58.72
153.34,7.4483,26.5,60,58.71
153.37,7.4548,26.5,60,58.71
153.4,7.4617,26.5,60,58.71
153.44,7.4681,26.4,60,58.72
153.47,7.4749,26.5,60,58.74
153.5,7.4812,26.4,60,58.74
153.54,7.4879,26.4,60,58.74
153.57,7.4942,26.4,60,58.74
153.61,7.5008,26.4,60,58.74
153.64,7.507,26.4,60,58.76
153.67,7.5136,26.5,60,58.77
153.71,7.5197,26.4,60,58.76
153.74,7.5259,26.4,60,58.75
153.78,7.5323,26.4,60,58.76
153.81,7.5384,26.4,60,58.77
153.84,7.5448,26.5,60,58.77
153.88,7.5508,26.5,60,58.77
153.91,7.5572,26.5,60,58.77
153.94,7.5631,26.5,60,58.77
153.98,7.5662,26.5,60,58.77
154.01,7.5721,26.5,60,58.77
154.05,7.5783,26.5,60,58.77
154.08,7.5841,26.5,60,58.77
154.11,7.5902,26.5,60,58.77
154.15,7.596,26.5,60,58.77
154.18,7.602,26.5,60,58.77
154.22,7.6077,26.4,60,58.77
154.25,7.6137,26.4,60,58.77
154.28,7.6192,26.4,60,58.77
154.32,7.6251,26.4,60,58.77
154.35,7.6306,26.5,60,58.77
154.38,7.6365,26.5,60,58.77
154.42,7.6419,26.5,60,58.77
154.45,7.6472,26.5,60,58.77
154.49,7.653,26.4,60,58.77
154.52,7.6583,26.4,60,58.77
154.55,7.6639,26.4,60,58.77
154.59,7.6691,26.4,60,58.77
154.62,7.6747,26.4,60,58.77
154.66,7.6798,26.4,60,58.77
154.69,7.6853,26.4,60,58.77
154.72,7.6904,26.4,60,58.77
154.76,7.6958,26.4,60,58.77
154.79,7.7009,26.4,60,58.77
154.83,7.7062,26.4,60,58.77
154.86,7.7112,26.4,60,58.77
154.89,7.7165,26.4,60,58.77
154.93,7.7214,26.5,60,58.77
154.96,7.724,26.5,60,58.77
154.99,7.7316,26.5,60,58.77
155.03,7.7364,26.5,60,58.77
155.06,7.7416,26.5,60,58.78
155.1,7.7464,26.4,60,58.79
155.13,7.749,26.4,60,58.79
155.16,7.7541,26.4,60,58.78
155.2,7.7588,26.4,60,58.77
155.23,7.7636,26.4,60,58.78
155.26,7.7687,26.4,60,58.79
155.3,7.7734,26.4,60,58.79
155.33,7.7785,26.5,60,58.78
155.37,7.7832,26.4,60,58.79
155.4,7.7882,26.4,60,58.77
155.43,7.7929,26.4,60,58.77
155.47,7.798,26.4,60,58.77
155.5,7.8027,26.4,60,58.79
155.54,7.8077,26.4,60,58.8
155.57,7.8124,26.4,60,58.8
155.6,7.8174,26.4,60,58.8
155.64,7.8221,26.4,60,58.77
155.67,7.8271,26.4,60,58.78
155.7,7.8317,26.4,60,58.8
155.74,7.8364,26.4,60,58.78
155.77,7.8414,26.4,60,58.78
155.81,7.8461,26.4,60,58.78
155.84,7.8511,26.4,60,58.77
155.87,7.8558,26.4,60,58.79
155.91,7.8608,26.3,60,58.8
155.94,7.8655,26.3,60,58.8
155.98,7.8705,26.3,60,58.8
156.01,7.8752,26.3,60,58.79
156.04,7.8802,26.3,60,58.79
156.08,7.8823,26.3,60,58.79
156.11,7.8898,26.3,60,58.8
156.14,7.8945,26.4,60,58.78
156.18,7.8995,26.4,60,58.77
156.21,7.9042,26.4,60,58.8
156.25,7.9067,26.3,60,58.79
156.28,7.9114,26.3,60,58.78
156.31,7.9164,26.3,60,58.79
156.35,7.921,26.4,60,58.8
156.38,7.926,26.4,60,58.8
156.42,7.9307,26.4,60,58.8
156.45,7.9353,26.4,60,58.79
156.48,7.9403,26.4,60,58.79
156.52,7.945,26.3,60,58.79
156.55,7.9499,26.3,60,58.78
156.58,7.9546,26.3,60,58.78
156.62,7.9596,26.4,60,58.79
156.65,7.9642,26.4,60,58.79
156.69,7.9692,26.3,60,58.8
156.72,7.9739,26.3,60,58.79
156.75,7.9788,26.3,60,58.79
156.79,7.9835,26.3,60,58.8
156.82,7.9884,26.3,60,58.8
156.86,7.9931,26.4,60,58.79
156.89,7.998,26.4,60,58.8
156.92,8.0027,26.4,60,58.8
156.96,8.0073,26.4,60,58.8
156.99,8.0123,26.4,60,58.79
157.02,8.0169,26.4,60,58.79
157.06,8.0219,26.4,60,58.8
157.09,8.0265,26.4,60,58.8
157.13,8.0314,26.3,60,58.81
157.16,8.0361,26.4,60,58.81
157.19,8.041,26.3,60,58.8
157.23,8.0456,26.3,60,58.81
157.26,8.0505,26.3,60,58.81
157.3,8.0552,26.4,60,58.82
157.33,8.0576,26.3,60,58.8
157.36,8.0623,26.4,60,58.8
157.4,8.0672,26.4,60,58.8
157.43,8.0718,26.3,60,58.81
157.46,8.0767,26.4,60,58.8
157.5,8.0813,26.4,60,58.8
157.53,8.0862,26.4,60,58.8
157.57,8.0909,26.4,60,58.8
157.6,8.0958,26.4,60,58.8
157.63,8.1004,26.4,60,58.8
157.67,8.1053,26.4,60,58.81
157.7,8.11,26.4,60,58.81
157.74,8.1146,26.4,60,58.8
157.77,8.1195,26.4,60,58.78
157.8,8.1241,26.4,60,58.8
157.84,8.1291,26.4,60,58.8
157.87,8.1337,26.4,60,58.78
157.9,8.1386,26.3,60,58.79
157.94,8.1432,26.4,60,58.8
157.97,8.1481,26.3,60,58.8
158.01,8.1527,26.3,60,58.8
158.04,8.1577,26.3,60,58.8
158.07,8.1623,26.3,60,58.8
158.11,8.1672,26.3,60,58.8
158.14,8.1718,26.3,60,58.8
158.17,8.1764,26.4,60,58.79
158.21,8.1813,26.3,60,58.79
158.24,8.1859,26.3,60,58.79
158.28,8.1907,26.3,60,58.8
158.31,8.1953,26.3,60,58.79
158.34,8.2002,26.3,60,58.79
158.38,8.2048,26.3,60,58.78
158.41,8.2097,26.3,60,58.78
158.45,8.2118,26.4,60,58.78
158.48,8.2167,26.3,60,58.78
158.51,8.2213,26.3,60,58.77
158.55,8.2262,26.4,60,58.77
158.58,8.2308,26.4,60,58.77
158.62,8.2356,26.4,60,58.77
158.65,8.2402,26.4,60,58.77
158.68,8.2451,26.4,60,58.77
158.72,8.2496,26.3,60,58.77
158.75,8.2545,26.4,60,58.77
158.78,8.2591,26.3,60,58.77
158.82,8.2639,26.3,60,58.77
158.85,8.2685,26.3,60,58.77
158.89,8.2734,26.3,60,58.77
158.92,8.2779,26.4,60,58.77
158.95,8.2825,26.4,60,58.77
158.99,8.2874,26.4,60,58.77
159.02,8.2919,26.3,60,58.77
159.06,8.2968,26.3,60,58.77
159.09,8.3013,26.4,60,58.77
159.12,8.3062,26.4,60,58.79
159.16,8.3108,26.4,60,58.79
159.19,8.3156,26.4,60,58.77
159.22,8.3201,26.4,60,58.77
159.26,8.325,26.4,60,58.8
159.29,8.3295,26.4,60,58.79
159.33,8.3344,26.4,60,58.77
159.36,8.3389,26.4,60,58.77
159.39,8.3438,26.4,60,58.77
159.43,8.3483,26.4,60,58.77
159.46,8.3528,26.4,60,58.77
159.5,8.3577,26.4,60,58.78
159.53,8.3601,26.4,60,58.77
159.56,8.367,26.4,60,58.78
159.6,8.3694,26.3,60,58.79
159.63,8.3739,26.3,60,58.77
159.66,8.3787,26.3,60,58.77
159.7,8.3832,26.3,60,58.79
159.73,8.3878,26.3,60,58.78
159.77,8.3926,26.3,60,58.77
159.8,8.3971,26.4,60,58.77
159.83,8.4019,26.3,60,58.78
159.87,8.4064,26.3,60,58.78
159.9,8.4112,26.3,60,58.78
159.93,8.4157,26.3,60,58.79
159.97,8.4205,26.3,60,58.79
160,8.425,26.3,60,58.79
160.04,8.4298,26.4,60,58.78
160.07,8.4343,26.4,60,58.8
160.1,8.4391,26.4,60,58.8
160.14,8.4435,26.3,60,58.79
160.17,8.448,26.3,60,58.78
160.21,8.4528,26.4,60,58.78
160.24,8.4573,26.3,60,58.77
160.27,8.462,26.4,60,58.79
160.31,8.4665,26.4,60,58.77
160.34,8.4713,26.3,60,58.77
160.38,8.4758,26.3,60,58.77
160.41,8.4806,26.3,60,58.77
160.44,8.4851,26.4,60,58.78
160.48,8.4898,26.3,60,58.79
160.51,8.4943,26.3,60,58.79
160.54,8.4991,26.4,60,58.77
160.58,8.5035,26.4,60,58.77
160.61,8.5083,26.3,60,58.77
160.65,8.5128,26.3,60,58.77
160.68,8.5152,26.3,60,58.77
160.71,8.5197,26.3,60,58.78
160.75,8.5245,26.4,60,58.78
160.78,8.5289,26.4,60,58.78
160.82,8.5337,26.4,60,58.78
160.85,8.5381,26.3,60,58.78
160.88,8.5428,26.3,60,58.77
160.92,8.5473,26.3,60,58.77
160.95,8.5517,26.3,60,58.78
160.98,8.5564,26.3,60,58.77
161.02,8.5609,26.4,60,58.79
161.05,8.5656,26.4,60,58.79
161.09,8.57,26.4,60,58.78
161.12,8.5747,26.4,60,58.78
161.15,8.5792,26.3,60,58.79
161.19,8.5839,26.3,60,58.78
161.22,8.5883,26.3,60,58.78
161.25,8.593,26.3,60,58.77
161.29,8.5974,26.4,60,58.79
161.32,8.6021,26.4,60,58.79
161.36,8.6065,26.4,60,58.77
161.39,8.6112,26.4,60,58.77
161.42,8.6156,26.3,60,58.77
161.46,8.62,26.3,60,58.77
161.49,8.6247,26.3,60,58.77
161.53,8.6291,26.3,60,58.77
161.56,8.6338,26.3,60,58.77
161.59,8.6382,26.3,60,58.77
161.63,8.6406,26.3,60,58.77
161.66,8.6473,26.3,60,58.77
161.69,8.652,26.3,60,58.77
161.73,8.6564,26.3,60,58.77
161.76,8.6611,26.3,60,58.77
161.8,8.6631,26.2,60,58.77
161.83,8.6678,26.2,60,58.77
161.86,8.6721,26.3,60,58.77
161.9,8.6768,26.3,60,58.77
161.93,8.6811,26.3,60,58.77
161.97,8.6858,26.4,60,58.77
162,8.6902,26.3,60,58.77
162.03,8.6948,26.3,60,58.77
162.07,8.6991,26.4,60,58.77
162.1,8.7038,26.3,60,58.77
162.14,8.7081,26.4,60,58.77
162.17,8.7125,26.3,60,58.77
162.2,8.7171,26.3,60,58.77
162.24,8.7215,26.3,60,58.77
162.27,8.7261,26.3,60,58.77
162.3,8.7304,26.4,60,58.77
162.34,8.7351,26.4,60,58.77
162.37,8.7394,26.3,60,58.77
162.41,8.7441,26.3,60,58.77
162.44,8.7484,26.3,60,58.77
162.47,8.753,26.3,60,58.77
162.51,8.7574,26.4,60,58.77
162.54,8.762,26.4,60,58.77
162.58,8.7663,26.4,60,58.77
162.61,8.7709,26.4,60,58.77
162.64,8.7752,26.3,60,58.77
162.68,8.7795,26.3,60,58.77
162.71,8.7841,26.4,60,58.77
162.74,8.7864,26.4,60,58.77
162.78,8.793,26.4,60,58.77
162.81,8.7973,26.4,60,58.77
162.85,8.8018,26.4,60,58.77
162.88,8.8041,26.3,60,58.77
162.91,8.8084,26.3,60,58.77
162.95,8.8127,26.3,60,58.77
162.98,8.8172,26.3,60,58.77
163.01,8.8215,26.3,60,58.77
163.05,8.8261,26.3,60,58.77
163.08,8.8303,26.3,60,58.77
163.12,8.8349,26.3,60,58.77
163.15,8.8391,26.3,60,58.77
163.18,8.8437,26.3,60,58.77
163.22,8.848,26.3,60,58.77
163.25,8.8525,26.3,60,58.77
163.29,8.8568,26.3,60,58.77
163.32,8.8613,26.3,60,58.77
163.35,8.8655,26.3,60,58.77
163.39,8.87,26.3,60,58.77
163.42,8.8742,26.3,60,58.77
163.45,8.8785,26.3,60,58.77
163.49,8.8829,26.3,60,58.77
163.52,8.8871,26.3,60,58.77
163.56,8.8916,26.3,60,58.77
163.59,8.8957,26.4,60,58.77
163.62,8.9002,26.4,60,58.77
163.66,8.9043,26.4,60,58.77
163.69,8.9087,26.3,60,58.77
163.73,8.9129,26.3,60,58.77
163.76,8.9173,26.3,60,58.77
163.79,8.9214,26.3,60,58.77
163.83,8.9258,26.3,60,58.77
163.86,8.9277,26.3,60,58.77
163.9,8.9343,26.3,60,58.77
163.93,8.9384,26.3,60,58.77
163.96,8.9425,26.3,60,58.77
164,8.9447,26.3,60,58.77
164.03,8.9491,26.3,60,58.77
164.06,8.9532,26.4,60,58.77
164.1,8.9576,26.4,60,58.77
164.13,8.9617,26.4,60,58.77
164.17,8.9658,26.4,60,58.77
164.2,8.9702,26.3,60,58.77
164.23,8.9742,26.3,60,58.77
164.27,8.9786,26.2,60,58.77
164.3,8.9827,26.2,60,58.77
164.34,8.987,26.2,60,58.77
164.37,8.991,26.3,60,58.77
164.4,8.9953,26.3,60,58.77
164.44,8.9993,26.3,60,58.77
164.47,9.0036,26.3,60,58.77
164.5,9.0075,26.3,60,58.77
164.54,9.0118,26.3,60,58.77
164.57,9.0157,26.3,60,58.77
164.61,9.0199,26.3,60,58.77
164.64,9.0238,26.3,60,58.77
164.67,9.0277,26.4,60,58.77
164.71,9.0319,26.4,60,58.77
164.74,9.0358,26.3,60,58.77
164.77,9.04,26.3,60,58.77
164.81,9.0439,26.2,60,58.77
164.84,9.048,26.2,60,58.77
164.88,9.0518,26.3,60,58.77
164.91,9.056,26.3,60,58.77
164.94,9.0598,26.3,60,58.77
164.98,9.0639,26.2,60,58.77
165.01,9.0677,26.2,60,58.77
165.05,9.0717,26.2,60,58.77
165.08,9.0735,26.3,60,58.77
165.11,9.0795,26.3,60,58.77
165.15,9.0812,26.3,60,58.77
165.18,9.0852,26.3,60,58.77
165.21,9.0889,26.3,60,58.77
165.25,9.0928,26.3,60,58.77
165.28,9.0965,26.3,60,58.77
165.32,9.1004,26.3,60,58.77
165.35,9.104,26.3,60,58.77
165.38,9.1079,26.3,60,58.77
165.42,9.1115,26.3,60,58.77
165.45,9.115,26.3,60,58.77
165.49,9.1188,26.3,60,58.77
165.52,9.1223,26.3,60,58.77
165.55,9.1261,26.3,60,58.77
165.59,9.1296,26.2,60,58.77
165.62,9.1333,26.2,60,58.76
165.66,9.1368,26.2,60,58.76
165.69,9.1404,26.3,60,58.76
165.72,9.1438,26.2,60,58.76
165.76,9.1475,26.3,60,58.77
165.79,9.1508,26.3,60,58.77
165.82,9.1544,26.3,60,58.77
165.86,9.1577,26.4,60,58.77
165.89,9.1612,26.4,60,58.77
165.93,9.1645,26.3,60,58.77
165.96,9.1677,26.3,60,58.75
165.99,9.1712,26.2,60,58.75
166.03,9.1744,26.2,60,58.76
166.06,9.1778,26.2,60,58.76
166.1,9.1809,26.3,60,58.76
166.13,9.1843,26.3,60,58.77
166.16,9.1874,26.3,60,58.77
166.2,9.1907,26.3,60,58.76
166.23,9.1921,26.3,60,58.76
166.26,9.1954,26.2,60,58.76
166.3,9.1984,26.2,60,58.77
166.33,9.2017,26.2,60,58.77
166.37,9.2047,26.2,60,58.77
166.4,9.2079,26.2,60,58.76
166.43,9.2108,26.2,60,58.74
166.47,9.214,26.2,60,58.74
166.5,9.2169,26.2,60,58.73
166.53,9.22,26.2,60,58.74
166.57,9.2229,26.2,60,58.76
166.6,9.226,26.3,60,58.76
166.64,9.2288,26.3,60,58.74
166.67,9.2317,26.3,60,58.74
166.7,9.2347,26.4,60,58.73
166.74,9.2375,26.4,60,58.73
166.77,9.2405,26.3,60,58.75
166.81,9.2432,26.3,60,58.76
166.84,9.2461,26.3,60,58.75
166.87,9.2488,26.3,60,58.74
166.91,9.2517,26.3,60,58.74
166.94,9.2544,26.3,60,58.74
166.97,9.2573,26.3,60,58.74
167.01,9.2599,26.2,60,58.74
167.04,9.2627,26.3,60,58.74
167.08,9.2653,26.3,60,58.75
167.11,9.2681,26.3,60,58.74
167.14,9.2707,26.3,60,58.74
167.18,9.2733,26.3,60,58.74
167.21,9.276,26.2,60,58.73
167.25,9.2785,26.3,60,58.74
167.28,9.2813,26.2,60,58.74
167.31,9.2838,26.2,60,58.72
167.35,9.2852,26.2,60,58.74
167.38,9.2879,26.3,60,58.74
167.42,9.2904,26.2,60,58.76
167.45,9.2929,26.3,60,58.75
167.48,9.2956,26.3,60,58.74
167.52,9.2981,26.3,60,58.74
167.55,9.3007,26.3,60,58.74
167.58,9.3032,26.3,60,58.74
167.62,9.3059,26.2,60,58.74
167.65,9.3084,26.3,60,58.73
167.69,9.311,26.3,60,58.72
167.72,9.3135,26.3,60,58.71
167.75,9.3161,26.3,60,58.74
167.79,9.3186,26.3,60,58.74
167.82,9.3213,26.3,60,58.73
167.86,9.3238,26.3,60,58.71
167.89,9.3264,26.3,60,58.71
167.92,9.3288,26.3,60,58.71
167.96,9.3313,26.3,60,58.71
167.99,9.334,26.2,60,58.71
168.02,9.3364,26.3,60,58.71
168.06,9.3391,26.3,60,58.71
168.09,9.3416,26.2,60,58.71
168.13,9.3442,26.3,60,58.71
168.16,9.3467,26.2,60,58.71
168.19,9.3493,26.2,60,58.73
168.23,9.3518,26.2,60,58.74
168.26,9.3544,26.3,60,58.73
168.29,9.3569,26.3,60,58.73
168.33,9.3595,26.3,60,58.71
168.36,9.362,26.3,60,58.71
168.4,9.3645,26.2,60,58.71
168.43,9.3672,26.2,60,58.71
168.46,9.3685,26.2,60,58.71
168.5,9.371,26.2,60,58.71
168.53,9.3736,26.2,60,58.71
168.57,9.3761,26.2,60,58.71
168.6,9.3787,26.3,60,58.71
168.63,9.3812,26.3,60,58.71
168.67,9.3837,26.3,60,58.71
168.7,9.3863,26.3,60,58.71
168.73,9.3887,26.3,60,58.71
168.77,9.3914,26.2,60,58.71
168.8,9.3939,26.2,60,58.71
168.84,9.3965,26.2,60,58.71
168.87,9.3989,26.2,60,58.71
168.9,9.4016,26.2,60,58.71
168.94,9.404,26.2,60,58.71
168.97,9.4066,26.2,60,58.71
169.01,9.409,26.2,60,58.71
169.04,9.4116,26.2,60,58.71
169.07,9.4141,26.2,60,58.71
169.11,9.4167,26.3,60,58.71
169.14,9.4191,26.3,60,58.71
169.18,9.4215,26.3,60,58.71
169.21,9.4242,26.3,60,58.71
169.24,9.4266,26.2,60,58.73
169.28,9.4293,26.2,60,58.73
169.31,9.4317,26.2,60,58.71
169.34,9.4343,26.2,60,58.71
169.38,9.4368,26.2,60,58.71
169.41,9.4394,26.2,60,58.71
169.45,9.4418,26.2,60,58.71
169.48,9.4445,26.2,60,58.71
169.51,9.4469,26.2,60,58.71
169.55,9.4482,26.3,60,58.73
169.58,9.452,26.2,60,58.72
169.62,9.4533,26.2,60,58.71
169.65,9.4557,26.2,60,58.71
169.68,9.4583,26.2,60,58.71
169.72,9.4608,26.3,60,58.71
169.75,9.4634,26.3,60,58.71
169.78,9.4658,26.3,60,58.71
169.82,9.4684,26.3,60,58.73
