Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
18.29,6.8974,101.1,0,0.54
18.33,6.897,101.1,0,0.54
18.36,6.8966,101,0,0.54
18.4,6.8962,101,0,0.54
18.43,6.8958,100.9,0,0.54
18.46,6.8955,100.9,0,0.54
18.5,6.8954,100.9,0,0.54
18.53,6.8955,100.8,0,0.54
18.56,6.8957,100.8,0,0.54
18.6,6.8959,100.8,0,0.54
18.63,6.8961,100.8,0,0.54
18.66,6.8963,100.8,0,0.54
18.7,6.8963,100.8,0,0.54
18.73,6.8962,100.8,0,0.54
18.77,6.8961,100.7,0,0.54
18.8,6.8961,100.6,0,0.54
18.83,6.896,100.6,0,0.54
18.87,6.8958,100.6,0,0.54
18.9,6.8957,100.5,0,0.54
18.94,6.8956,100.5,0,0.54
18.97,6.8955,100.4,0,0.54
19,6.8955,100.3,0,0.54
19.04,6.8955,100.4,0,0.54
19.07,6.8955,100.4,0,0.54
19.1,6.8955,100.4,0,0.54
19.14,6.8954,100.4,0,0.54
19.17,6.8953,100.3,0,0.54
19.21,6.8951,100.3,0,0.54
19.24,6.8947,100.3,0,0.54
19.27,6.8945,100.3,0,0.54
19.31,6.8943,100.2,0,0.54
19.34,6.8941,100.2,0,0.54
19.38,6.8939,100.2,0,0.54
19.41,6.8938,100.2,0,0.54
19.44,6.8937,100.2,0,0.54
19.48,6.8935,100.1,0,0.54
19.51,6.8935,100.1,0,0.54
19.54,6.8936,100,0,0.54
19.58,6.8936,100,0,0.54
19.61,6.8934,100,0,0.54
19.64,6.8934,100,0,0.54
19.68,6.8933,100,0,0.54
19.71,6.8932,100,0,0.54
19.75,6.8931,100,0,0.54
19.78,6.893,100,0,0.54
19.81,6.893,100,0,0.54
19.85,6.8929,99.9,0,0.54
19.88,6.8928,99.9,0,0.54
19.91,6.8927,99.9,0,0.54
19.95,6.8927,99.8,0,0.54
19.98,6.8929,99.8,0,0.54
20.01,6.893,99.8,0,0.54
20.05,6.8932,99.8,0,0.54
20.08,6.8933,99.9,0,0.54
20.12,6.8933,100,0,0.54
20.15,6.8931,99.9,0,0.54
20.18,6.8928,99.9,0,0.54
20.22,6.8927,99.9,0,0.54
20.25,6.8923,99.8,0,0.54
20.29,6.892,99.8,0,0.54
20.32,6.8918,99.7,0,0.54
20.35,6.8916,99.7,0,0.54
20.39,6.8917,99.7,0,0.54
20.42,6.8919,99.7,0,0.54
20.45,6.8921,99.7,0,0.54
20.49,6.8922,99.7,0,0.54
20.52,6.8922,99.7,0,0.54
20.56,6.8921,99.7,0,0.54
20.59,6.892,99.7,0,0.54
20.63,6.8919,99.7,0,0.54
20.66,6.8918,99.7,0,0.54
20.69,6.8916,99.7,0,0.54
20.73,6.8915,99.8,0,0.54
20.76,6.8913,99.8,0,0.54
20.79,6.8912,99.8,0,0.54
20.83,6.8914,99.8,0,0.54
20.86,6.8914,99.8,0,0.54
20.89,6.8916,99.8,0,0.54
20.93,6.8916,99.7,0,0.54
20.96,6.8916,99.8,0,0.54
21,6.8915,99.8,0,0.54
21.03,6.8915,99.8,0,0.54
21.06,6.8914,99.8,0,0.54
21.1,6.8912,99.8,0,0.54
21.13,6.8909,99.8,0,0.54
21.16,6.8906,99.8,0,0.54
21.2,6.8905,99.7,0,0.54
21.23,6.8903,99.7,0,0.54
21.26,6.8902,99.7,0,0.54
21.3,6.8902,99.8,0,0.54
21.33,6.8903,99.8,0,0.54
21.36,6.8906,99.8,0,0.54
21.4,6.8908,99.8,0,0.54
21.43,6.8908,99.7,0,0.54
21.46,6.8908,99.8,0,0.54
21.5,6.8907,99.8,0,0.54
21.53,6.8906,99.8,0,0.54
21.57,6.8904,99.8,0,0.54
21.6,6.8901,99.8,0,0.54
21.63,6.8898,99.8,0,0.54
21.67,6.8896,99.8,0,0.54
21.7,6.8897,99.7,0,0.54
21.74,6.8898,99.7,0,0.54
21.77,6.8898,99.7,0,0.54
21.8,6.8898,99.7,0,0.54
21.84,6.8897,99.7,0,0.54
21.87,6.8896,99.7,0,0.54
21.91,6.8895,99.7,0,0.54
21.94,6.8895,99.8,0,0.54
21.97,6.8894,99.8,0,0.54
22.01,6.8894,99.8,0,0.54
22.04,6.8893,99.7,0,0.54
22.08,6.8893,99.7,0,0.54
22.11,6.8892,99.8,0,0.54
22.14,6.8892,99.8,0,0.54
22.18,6.8893,99.8,0,0.54
22.21,6.8894,99.8,0,0.54
22.24,6.8894,99.8,0,0.54
22.28,6.8894,99.9,0,0.54
22.31,6.8894,99.8,0,0.54
22.34,6.8893,99.8,0,0.54
22.38,6.8892,99.9,0,0.54
22.41,6.8891,99.9,0,0.54
22.45,6.889,99.9,0,0.54
22.48,6.8889,99.9,0,0.54
22.51,6.8889,99.9,0,0.54
22.55,6.8889,99.9,0,0.54
22.58,6.8887,99.9,0,0.54
22.62,6.8886,99.9,0,0.54
22.65,6.8885,99.9,0,0.54
22.68,6.8886,99.9,0,0.54
22.72,6.8886,100,0,0.54
22.75,6.8885,100,0,0.54
22.79,6.8885,99.9,0,0.54
22.82,6.8884,100,0,0.54
22.85,6.8884,100,0,0.54
22.89,6.8883,100,0,0.54
22.92,6.8881,100,0,0.54
22.95,6.8881,100,0,0.54
22.99,6.8879,100,0,0.54
23.02,6.8878,100,0,0.54
23.06,6.8875,100.1,0,0.54
23.09,6.8872,100,0,0.54
23.12,6.887,100,0,0.54
23.16,6.8867,100,0,0.54
23.19,6.8864,100,0,0.54
23.23,6.8862,100,0,0.54
23.26,6.886,100,0,0.54
23.29,6.8859,100,0,0.54
23.33,6.8858,100,0,0.54
23.36,6.8857,100,0,0.54
23.39,6.8856,100,0,0.54
23.43,6.8855,100.1,0,0.54
23.46,6.8855,100.1,0,0.54
23.49,6.8854,100.1,0,0.54
23.53,6.8853,100,0,0.54
23.56,6.8854,100,0,0.54
23.6,6.8854,100,0,0.54
23.63,6.8856,100.1,0,0.54
23.66,6.8858,100.1,0,0.54
23.7,6.8859,100.2,0,0.54
23.73,6.8861,100.1,0,0.54
23.77,6.8861,100.1,0,0.54
23.8,6.8859,100.1,0,0.54
23.83,6.8857,100.1,0,0.54
23.87,6.8856,100.1,0,0.54
23.9,6.8855,100.1,0,0.54
23.93,6.8855,100.1,0,0.54
23.97,6.8854,100.1,0,0.54
24,6.8853,100.2,0,0.54
24.03,6.8852,100.2,0,0.54
24.07,6.8851,100.1,0,0.54
24.1,6.885,100.1,0,0.54
24.13,6.885,100.1,0,0.54
24.17,6.885,100.1,0,0.54
24.2,6.885,100.2,0,0.54
